id,systemNumber,customerId,systemId,systemName,installationNo,systemRole,solutionArea,subSolutionArea,product,productId,productVersion,productCategory,osType,osVersion,database
3e39e942-fa76-423b-b0d2-5f0b957c0ee5,000000000312120363,0000190852,POD,Process Orchestration Development,0020776592,Non-Productive,Data & AI,Data & Analytics Private,SAP NETWEAVER,01200314690800000134,SAP NetWeaver 7.5,Technology Platform,WINDOWS_X86_,10.0,Microsoft
f9677231-ddb1-4462-9cb8-b2b8e0cf5c8e,000000000312122541,0000190852,POQ,Process Orchestration QA,0020776592,Non-Productive,Data & AI,Data & Analytics Private,SAP NETWEAVER,01200314690800000134,SAP NetWeaver 7.5,Technology Platform,,,Microsoft
11cf5382-5ced-4856-b0c6-609f0c3a3bf5,000000000312132087,0000190852,GRQ,GRC Quality Assurance System,0020777180,Non-Productive,Data & AI,Data & Analytics Private,SAP NETWEAVER,01200314690800000134,SAP NetWeaver 7.5,Technology Platform,Windows NT,6.3,Microsoft
cc088b37-0261-43b6-82b2-0f09c0023785,000000000312134486,0000190852,BJD,BWDevelopment portal,0020743977,Non-Productive,Data & AI,Data & Analytics Private,SAP NETWEAVER,01200314690800000134,SAP NetWeaver 7.4,Technology Platform,Windows Serv,6.1,Microsoft
9f129049-7978-48f8-b2d0-893f78fbd6bf,000000000312135730,0000190852,POX,Process Orchestration Sandbox,0020776592,Non-Productive,Data & AI,Data & Analytics Private,SAP NETWEAVER,01200314690800000134,SAP NetWeaver 7.5,Technology Platform,Windows Serv,10.0,Microsoft
23e253f2-b383-4ff4-b8f3-9787ed5d0678,000000000312137655,0000190852,EPQ,Enterprise Portals Quality Assurance Sys,0020778103,Non-Productive,Data & AI,Data & Analytics Private,SAP NETWEAVER,01200314690800000134,SAP NetWeaver 7.4,Technology Platform,Windows Serv,6.1,Microsoft
af214688-5945-4289-8c3f-d65589cb70df,000000000312142301,0000190852,NDP,NDP - NWDI,0020743977,Non-Productive,Data & AI,Data & Analytics Private,SAP NETWEAVER,01200314690800000134,SAP NetWeaver 7.4,Technology Platform,Windows Serv,6.1,Microsoft
0f77bee6-d26a-4ca1-a8e6-10ca26ec4f6d,000000000312143658,0000190852,IDX,IDX Identity Management Sandbox,0020778103,Non-Productive,Data & AI,Data & Analytics Private,SAP NETWEAVER,01200314690800000134,SAP NetWeaver 7.4,Technology Platform,Windows Serv,6.1,Microsoft
bedaccc6-0126-4dac-8768-c6d11cbe15ac,000000000312144838,0000190852,IDD,IDD identity Management Development,0020778103,Non-Productive,Data & AI,Data & Analytics Private,SAP NETWEAVER,01200314690800000134,SAP NetWeaver 7.4,Technology Platform,Windows Serv,6.1,Microsoft
c1a64e7a-22be-4dbf-a516-9a21c9ec8f98,000000000312148957,0000190852,BOQ,BOQ SBO BOE 4.2 QA/Test system,0020743978,Non-Productive,Data & AI,Data & Analytics Private,SBOP BI PLATFORM (ENTERPRISE),01200314690800000337,SAP BusinessObjects Business Intelligence platform 4.2,Technology Platform,NT/INTEL,,
5c888566-6c24-47e8-8dd0-c9ff0aaacf79,000000000312148986,0000190852,BOX,BOX BOE 4.3 Sandbox,0020743978,Non-Productive,Data & AI,Data & Analytics Private,SBOP BI PLATFORM (ENTERPRISE),01200314690800000337,SAP BusinessObjects Business Intelligence platform 4.3,Technology Platform,NT/INTEL,WIN2008SR1,
d16c0364-502f-4324-af32-461953ad885b,000000000312153752,0000190852,ECQ,ECQ - Hana Lincenses,0020743951,Non-Productive,Data & AI,Data & Analytics Private,SAP HANA PLATFORM EDITION,01200314690800001945,SAP HANA platform edition 2.0,Technology Platform,LINUX,7.1,
fdb64c17-4c3d-4370-8319-47d38e446104,000000000312168160,0000190852,CPD,Redwood Development System,0020743977,Non-Productive,Data & AI,Data & Analytics Private,SAP NETWEAVER,01200314690800000134,SAP NetWeaver 7.4,Technology Platform,Windows Serv,6.1,Microsoft
abc2d830-2cab-4b20-9373-e18aca064d33,000000000312170029,0000190852,BJX,BW Sandbox Portal,0020743977,Non-Productive,Data & AI,Data & Analytics Private,SAP NETWEAVER,01200314690800000134,SAP NetWeaver 7.4,Technology Platform,Windows Serv,6.1,Microsoft
63fa4b4c-7a75-4c6d-90f4-9a56e3ab0f77,000000000312184281,0000190852,BJQ,BW Test portal,0020743977,Non-Productive,Data & AI,Data & Analytics Private,SAP NETWEAVER,01200314690800000134,SAP NetWeaver 7.4,Technology Platform,Windows Serv,6.1,Microsoft
5055625e-d7e0-4c8f-8a6d-04dfaede53cd,000000000312189037,0000190852,IDQ,IDM Identity Management QA / Test,0020778103,Non-Productive,Data & AI,Data & Analytics Private,SAP NETWEAVER,01200314690800000134,SAP NetWeaver 7.5,Technology Platform,Windows Serv,6.3,Microsoft
6a603876-0c75-4370-8d6b-fc8a2013de44,000000000312191792,0000190852,BWD,BWD - lovesdev domain,0020743977,Non-Productive,Data & AI,Data & Analytics Private,SAP NETWEAVER,01200314690800000134,SAP NetWeaver 7.4,Technology Platform,NT/INTEL,,HDB
a8e9353e-f454-4bbf-9856-1e3488033bce,000000000312212960,0000190852,HRD,HR Development HANA DB,0020807372,Non-Productive,Data & AI,Data & Analytics Private,SAP HANA PLATFORM EDITION,01200314690800001945,"SAP HANA 1.0, platform edition",Technology Platform,LINUX_X86_64,SLES11,
a4db3832-d353-401d-b6bd-8ac1a1074c84,000000000312224141,0000190852,HRQ,HR Quality Assurance HANA DB,0020807372,Non-Productive,Data & AI,Data & Analytics Private,SAP HANA PLATFORM EDITION,01200314690800001945,"SAP HANA 1.0, platform edition",Technology Platform,,,
81052185-fefd-4842-8520-a8afc1b7144f,000000000312236536,0000190852,HRX,HR Sandbox HANA System,0020807372,Non-Productive,Data & AI,Data & Analytics Private,SAP HANA PLATFORM EDITION,01200314690800001945,"SAP HANA 1.0, platform edition",Technology Platform,LINUX_X86_64,SLES11,
7312dcb7-3dbb-4ade-8d29-dd5bd69abf46,000000000312236536,0000190852,HRX,HR Sandbox HANA System,0020807372,Non-Productive,Data & AI,Data & Analytics Private,SAP HANA PLATFORM EDITION,01200314690800001945,SAP HANA platform edition 2.0,Technology Platform,LINUX_X86_64,SLES11,
